Log File Name:,.\log\cowrie.json.2020-11-10.txt
Time Stamp,Action Type,Session,IP,Command List,List Mitre Attack
2020-11-10T09:41:17.874607Z,Command failed to run,2e31dfe117da,140.213.33.218,Command not found: blah,
2020-11-10T09:41:24.734820Z,Run a command,2e31dfe117da,140.213.33.218,halo kevin ,
2020-11-10T09:41:25.125056Z,Command failed to run,2e31dfe117da,140.213.33.218,Command not found: halo kevin,
2020-11-10T09:41:27.263070Z,Run a command,2e31dfe117da,140.213.33.218,halo natan,
2020-11-10T09:41:27.627063Z,Command failed to run,2e31dfe117da,140.213.33.218,Command not found: halo natan,
2020-11-10T09:41:30.211437Z,Run a command,2e31dfe117da,140.213.33.218,ini gw yohanes,
2020-11-10T09:41:30.507722Z,Command failed to run,2e31dfe117da,140.213.33.218,Command not found: ini gw yohanes,
2020-11-10T09:41:46.782033Z,Run a command,2e31dfe117da,140.213.33.218,"echo ""halo Kevin"" > masuknih",
2020-11-10T09:41:49.015105Z,Run a command,2e31dfe117da,140.213.33.218,exit,
2020-11-10T09:41:49.651785Z,Saved redir contents with SHA-256 8d5f171bb68c1012fabef5121d2dea4622566578e2faff0e8f8f7b9daa6ea7d5 to var/lib/cowrie/downloads/8d5f171bb68c1012fabef5121d2dea4622566578e2faff0e8f8f7b9daa6ea7d5,2e31dfe117da,140.213.33.218,-,
2020-11-10T09:41:49.860435Z,Closing TTY Log (Input Log) for this Session,2e31dfe117da,140.213.33.218,-,
2020-11-10T09:41:50.780028Z,Connection lost from SSH,2e31dfe117da,140.213.33.218,-,
2020-11-10T09:41:54.769422Z,Version,aec36e427401,110.138.151.174,-,
2020-11-10T09:41:54.781579Z,Connection lost from SSH,aec36e427401,110.138.151.174,-,
2020-11-10T09:41:54.822023Z,New Connection to SSH,2c8371ab5ab0,110.138.151.174,-,
2020-11-10T09:41:59.806134Z,Version,2c8371ab5ab0,110.138.151.174,-,
2020-11-10T09:42:00.393118Z,Connection lost from SSH,2c8371ab5ab0,110.138.151.174,-,T444 (Reconisance) Test Connection | 
2020-11-10T09:42:00.962863Z,New Connection to SSH,6d5e3fe5039f,110.138.151.174,-,
2020-11-10T09:43:45.884131Z,Connection lost from SSH,6d5e3fe5039f,110.138.151.174,-,T444 (Reconisance) Test Connection | 
2020-11-10T09:44:24.839996Z,New Connection to SSH,2e366d1f48c8,45.146.164.239,-,
2020-11-10T09:44:25.319040Z,Version,2e366d1f48c8,45.146.164.239,-,
2020-11-10T09:44:25.616802Z,Cowrie save the SSH client hassh fingerprint as 492b943d405cf2ed74d9cc126dfc1fbb,2e366d1f48c8,45.146.164.239,-,
2020-11-10T09:44:29.082390Z,Login attemp as root@root1234 success,2e366d1f48c8,45.146.164.239,-,
2020-11-10T09:44:29.892954Z,Connection lost from SSH,2e366d1f48c8,45.146.164.239,-,T444 (Reconisance) Test Connection | 
2020-11-10T09:44:45.799487Z,New Connection to SSH,767193ad4703,98.227.126.131,-,
2020-11-10T09:44:46.092132Z,Version,767193ad4703,98.227.126.131,-,
2020-11-10T09:44:47.840506Z,Connection lost from SSH,767193ad4703,98.227.126.131,-,T444 (Reconisance) Test Connection | 
2020-11-10T09:55:43.455202Z,New Connection to SSH,9d1a20f3a468,103.125.43.28,-,
2020-11-10T09:55:43.631184Z,Version,9d1a20f3a468,103.125.43.28,-,
2020-11-10T09:55:43.653931Z,Cowrie save the SSH client hassh fingerprint as 2dd6531c7e89d3c925db9214711be76a,9d1a20f3a468,103.125.43.28,-,
2020-11-10T09:55:43.707335Z,Connection lost from SSH,9d1a20f3a468,103.125.43.28,-,T444 (Reconisance) Test Connection | 
2020-11-10T09:57:01.981042Z,New Connection to SSH,3226e7881b67,110.138.151.174,-,
2020-11-10T09:57:02.230710Z,Version,3226e7881b67,110.138.151.174,-,
2020-11-10T09:57:02.468076Z,Cowrie save the SSH client hassh fingerprint as 740d79e2cbb9ce5f5e1118beefbb4e34,3226e7881b67,110.138.151.174,-,
2020-11-10T09:57:07.803823Z,New Connection to SSH,40d8b70218a4,103.125.43.28,-,
2020-11-10T09:57:08.789971Z,Version,40d8b70218a4,103.125.43.28,-,
2020-11-10T09:57:08.881340Z,Cowrie save the SSH client hassh fingerprint as 2dd6531c7e89d3c925db9214711be76a,40d8b70218a4,103.125.43.28,-,
2020-11-10T09:57:10.725802Z,Login attemp as kevin@root failed,3226e7881b67,110.138.151.174,-,
2020-11-10T09:57:11.111892Z,Connection lost from SSH,40d8b70218a4,103.125.43.28,-,T444 (Reconisance) Test Connection | 
2020-11-10T09:57:13.681572Z,Login attemp as kevin@ failed,3226e7881b67,110.138.151.174,-,
2020-11-10T09:57:36.953732Z,Login attemp as kevin@P@ssW0rd failed,3226e7881b67,110.138.151.174,-,
2020-11-10T09:57:39.901158Z,Connection lost from SSH,3226e7881b67,110.138.151.174,-,
2020-11-10T09:57:51.349005Z,New Connection to SSH,cc30c9a505eb,110.138.151.174,-,
2020-11-10T09:57:51.698566Z,Version,cc30c9a505eb,110.138.151.174,-,
2020-11-10T09:57:51.749348Z,Cowrie save the SSH client hassh fingerprint as 740d79e2cbb9ce5f5e1118beefbb4e34,cc30c9a505eb,110.138.151.174,-,
2020-11-10T09:58:36.415771Z,New Connection to SSH,2a897c7a2c51,103.125.43.28,-,
2020-11-10T09:58:36.818204Z,Version,2a897c7a2c51,103.125.43.28,-,
2020-11-10T09:58:37.303511Z,Cowrie save the SSH client hassh fingerprint as 2dd6531c7e89d3c925db9214711be76a,2a897c7a2c51,103.125.43.28,-,
2020-11-10T09:58:39.090027Z,Connection lost from SSH,2a897c7a2c51,103.125.43.28,-,T444 (Reconisance) Test Connection | 
2020-11-10T09:59:28.536983Z,New Connection to SSH,1abd0529ebce,103.125.43.28,-,
2020-11-10T09:59:29.474728Z,Version,1abd0529ebce,103.125.43.28,-,
2020-11-10T09:59:29.497107Z,Cowrie save the SSH client hassh fingerprint as 2dd6531c7e89d3c925db9214711be76a,1abd0529ebce,103.125.43.28,-,
2020-11-10T09:59:40.010197Z,Login attemp as nat@P@ssW0rd failed,1abd0529ebce,103.125.43.28,-,
2020-11-10T09:59:52.083443Z,Connection lost from SSH,cc30c9a505eb,110.138.151.174,-,
2020-11-10T10:00:09.160846Z,New Connection to SSH,53b8b37017e7,110.138.151.174,-,
2020-11-10T10:00:09.172355Z,Version,53b8b37017e7,110.138.151.174,-,
2020-11-10T10:00:09.286720Z,Cowrie save the SSH client hassh fingerprint as 740d79e2cbb9ce5f5e1118beefbb4e34,53b8b37017e7,110.138.151.174,-,
2020-11-10T10:01:21.341364Z,New Connection to SSH,7e035df9ccda,110.138.151.174,-,
2020-11-10T10:01:21.582226Z,Version,7e035df9ccda,110.138.151.174,-,
2020-11-10T10:01:21.683770Z,Cowrie save the SSH client hassh fingerprint as 740d79e2cbb9ce5f5e1118beefbb4e34,7e035df9ccda,110.138.151.174,-,
2020-11-10T10:01:29.803807Z,Connection lost from SSH,1abd0529ebce,103.125.43.28,-,
2020-11-10T10:01:34.308734Z,Login attemp as root@kasdkasdksadk success,7e035df9ccda,110.138.151.174,-,
